Month,Dwelling_Approvals
2021-01-01,1107
2021-02-01,1387
2021-03-01,1571
2021-04-01,1127
2021-05-01,1403
2021-06-01,1456
2021-07-01,1158
2021-08-01,1240
2021-09-01,1098
2021-10-01,929
2021-11-01,1257
2021-12-01,1082
2022-01-01,597
2022-02-01,1108
2022-03-01,978
2022-04-01,1260
2022-05-01,1137
2022-06-01,957
2022-07-01,1142
2022-08-01,1252
2022-09-01,967
2022-10-01,1135
2022-11-01,1373
2022-12-01,841
2023-01-01,665
2023-02-01,1058
2023-03-01,913
2023-04-01,1041
2023-05-01,1102
2023-06-01,1043
2023-07-01,982
2023-08-01,992
2023-09-01,996
2023-10-01,1007
2023-11-01,1076
2023-12-01,738
2024-01-01,624
2024-02-01,904
2024-03-01,851
2024-04-01,1026
2024-05-01,1061
2024-06-01,1038
2024-07-01,1261
2024-08-01,1097
2024-09-01,1143
2024-10-01,1237
2024-11-01,1270
2024-12-01,1039
2025-01-01,1081
2025-02-01,1286
2025-03-01,1207
2025-04-01,1290
2025-05-01,1312
2025-06-01,1293
2025-07-01,1293
2025-08-01,1120
2025-09-01,1240
2025-10-01,1342
2025-11-01,1293
2025-12-01,1240
2026-01-01,932
2026-02-01,1210
2026-03-01,1312
2026-04-01,1346
