Suburb,Unit_1BR_Count,Unit_1BR_Median,Unit_2BR_Count,Unit_2BR_Median,Unit_3BR_Count,Unit_3BR_Median,Unit_Total_Count,Unit_Total_Median,House_Total_Count,House_Total_Median,Total_Count,Total_Median
Aberfoyle Park,,,,450.0,,610.0,,500.0,20.0,635.0,25.0,630.0
Adelaide,540.0,469.0,255.0,640.0,40.0,770.0,840.0,539.0,85.0,650.0,1050.0,514.5
Albert Park,,,,480.0,,,,480.0,15.0,610.0,15.0,600.0
Alberton,,370.0,,520.0,,,,440.0,5.0,520.0,10.0,520.0
Aldgate,,,,,,,,,5.0,650.0,5.0,650.0
Aldinga,,445.0,,,,,,445.0,,650.0,,650.0
Aldinga Beach,,412.5,,510.0,,530.0,10.0,485.0,60.0,600.0,80.0,577.5
Allenby Gardens,,430.0,,,,,,430.0,15.0,685.0,15.0,640.0
Andrews Farm,,225.0,,450.0,,,,337.5,100.0,560.0,105.0,550.0
Angle Park,,,,,,,,,,520.7,,520.7
Angle Vale,,,,,,,,,60.0,625.0,60.0,625.0
Ascot Park,,480.0,10.0,500.0,,592.5,15.0,500.0,20.0,620.0,40.0,555.0
Ashford,,,10.0,460.0,,635.0,10.0,495.0,5.0,780.0,15.0,635.0
Athelstone,,,,575.0,,550.75,,575.0,35.0,650.0,40.0,640.0
Athol Park,,,,500.0,,670.0,,505.0,15.0,582.2,15.0,570.0
Banksia Park,,,,,,,,,5.0,580.0,5.0,580.0
Beaumont,,,,,,,,,10.0,835.0,10.0,835.0
Bedford Park,,550.0,5.0,465.0,,,5.0,480.0,15.0,270.0,35.0,320.0
Belair,,440.0,,,,,,440.0,,930.0,,925.0
Bellevue Heights,,270.0,,500.0,,,,385.0,,250.0,5.0,250.0
Beulah Park,,330.0,,515.0,,,,480.0,10.0,610.0,15.0,605.0
Beverley,,,,425.0,,,,425.0,5.0,640.0,15.0,450.0
Birkenhead,,,,540.0,,,,540.0,5.0,487.5,10.0,500.0
Black Forest,,375.0,5.0,477.5,,,5.0,475.0,5.0,670.0,15.0,510.0
Blackwood,,,,505.0,,,,505.0,10.0,650.0,15.0,640.0
Blair Athol,,,,430.0,,495.0,,462.5,55.0,640.0,55.0,630.0
Blakeview,,,,475.0,,,,475.0,70.0,560.0,75.0,560.0
Blewitt Springs,,,,,,,,,,680.0,,680.0
Bolivar,,,,,,,,,,,,400.0
Bowden,5.0,550.0,25.0,660.0,,780.0,35.0,660.0,30.0,765.0,65.0,665.0
Brahma Lodge,,,,,,560.0,,560.0,25.0,560.0,25.0,560.0
Bridgewater,,,,,,,,,10.0,725.0,10.0,725.0
Brighton,,,20.0,572.5,,660.0,20.0,575.0,20.0,805.0,40.0,650.0
Broadview,,407.5,10.0,482.5,,500.0,10.0,475.0,25.0,615.0,35.0,500.0
Brompton,,,5.0,540.0,,692.5,10.0,600.0,45.0,640.0,55.0,635.0
Brooklyn Park,,395.0,35.0,460.0,,,35.0,460.0,15.0,615.0,50.0,480.0
Burnside,,,5.0,530.0,,,5.0,530.0,10.0,750.0,15.0,590.0
Burton,,,,,,,,,25.0,600.0,25.0,600.0
Camden Park,,350.0,10.0,455.0,,595.0,15.0,455.0,20.0,680.0,35.0,565.0
Campbelltown,10.0,360.0,20.0,520.0,,705.0,30.0,510.0,80.0,670.0,110.0,640.0
Cheltenham,,,,460.0,,,,460.0,5.0,595.0,10.0,570.0
Christie Downs,,340.0,,310.5,,374.5,10.0,332.75,25.0,525.0,40.0,495.0
Christies Beach,,450.0,10.0,437.5,10.0,577.5,20.0,485.0,60.0,592.5,80.0,580.0
Clapham,,,,512.5,,,,512.5,,692.5,5.0,607.5
Clarence Gardens,,,,550.0,,,,550.0,15.0,640.0,15.0,615.0
Clarence Park,,400.0,10.0,495.0,,590.0,20.0,490.0,5.0,672.5,25.0,500.0
Clarendon,,,,,,,,,,720.0,,720.0
Clearview,,,5.0,510.0,,,5.0,510.0,30.0,595.0,35.0,567.5
Clovelly Park,,,,500.0,,590.0,10.0,550.0,25.0,610.0,30.0,585.0
College Park,,,,720.0,,690.0,,705.0,,670.0,5.0,705.0
Collinswood,,430.0,,560.0,,,10.0,540.0,,550.0,10.0,545.0
Colonel Light Gardens,,395.0,,,,,,395.0,10.0,750.0,10.0,725.0
Coromandel Valley,,,,520.0,,,,520.0,,585.0,,520.0
Cowandilla,,,,395.0,,,,395.0,5.0,650.0,15.0,440.0
Crafers,,,,,,,,,,600.0,,600.0
Crafers West,,,,,,,,,,750.0,,750.0
Craigburn Farm,,,,,,,,,,770.0,,770.0
Craigmore,,,,,,,,,55.0,560.0,55.0,555.0
Croydon,,300.0,,550.0,,,,425.0,,710.0,,575.0
Croydon Park,,240.0,10.0,490.0,,,10.0,490.0,35.0,580.0,50.0,490.0
Cumberland Park,,,5.0,525.0,,,5.0,525.0,10.0,665.0,15.0,625.0
Darlington,,,,450.0,,650.0,,550.0,,575.0,15.0,240.0
Davoren Park,,230.8,,,,,,230.8,105.0,475.0,110.0,470.0
