Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Score,Housing_Pressure_Score,Housing_Pressure_Category
Panorama,,1000.0,1000.0,,5,5,Very High
Heathpool,,1000.0,1000.0,5.0,5,5,Very High
Stonyfell,,1000.0,1000.0,,5,5,Very High
Stirling,,970.0,970.0,,5,5,Very High
Belair,440.0,930.0,925.0,,5,5,Very High
Red Banks,,900.0,900.0,,5,5,Very High
Teringie,570.0,1000.0,887.5,,5,5,Very High
Netherby,415.0,1300.0,857.5,,5,5,Very High
Uraidla,,850.0,850.0,,5,5,Very High
Gilberton,515.0,1100.0,842.5,10.0,4,4,High
Beaumont,,835.0,835.0,10.0,4,4,High
Summertown,,825.0,825.0,,4,4,High
Rosslyn Park,482.5,810.0,810.0,5.0,4,4,High
Mitcham,572.5,820.0,807.5,15.0,4,4,High
Stepney,,797.5,797.5,10.0,4,4,High
Hazelwood Park,555.0,800.0,780.0,10.0,4,4,High
Malvern,530.0,1250.0,780.0,10.0,4,4,High
Gillman,,772.5,772.5,,4,4,High
Craigburn Farm,,770.0,770.0,,4,4,High
Wattle Park,,765.0,765.0,,4,4,High
Hewett,,762.5,762.5,,4,4,High
Hilton,,750.0,750.0,,4,4,High
Crafers West,,750.0,750.0,,4,4,High
Glen Osmond,380.0,950.0,750.0,15.0,4,4,High
Highgate,790.0,750.0,750.0,10.0,4,4,High
One Tree Hill,,750.0,750.0,,4,4,High
Rose Park,550.0,900.0,750.0,20.0,4,4,High
Mingbool,,750.0,750.0,,4,4,High
Mount Osmond,,750.0,750.0,,4,4,High
Frewville,730.0,800.0,749.0,5.0,3,3,Medium
Walkley Heights,,745.0,745.0,10.0,3,3,Medium
St Georges,575.0,780.0,740.0,10.0,3,3,Medium
Fulham Gardens,485.0,800.0,735.0,40.0,3,3,Medium
Kersbrook,,730.0,730.0,,3,3,Medium
Bridgewater,,725.0,725.0,10.0,3,3,Medium
Colonel Light Gardens,395.0,750.0,725.0,10.0,3,3,Medium
Clarendon,,720.0,720.0,,3,3,Medium
College Park,705.0,670.0,705.0,5.0,3,3,Medium
Oakbank,,700.0,700.0,,3,3,Medium
Roseworthy,,700.0,700.0,,3,3,Medium
Meadows,,700.0,700.0,,3,3,Medium
Sheidow Park,,700.0,700.0,15.0,3,3,Medium
Kidman Park,470.0,710.0,700.0,25.0,3,3,Medium
