LGA_Code,LGA_Name,Total_Median,Unit_Total_Median,House_Total_Median,Total_Count,Unit_Total_Count,House_Total_Count,Sample_Quality,Median_Weekly_Household_Income_2021,Rent_to_Income_Proxy,Rent_to_Income_Proxy_Pct,Unit_Rent_to_Income_Proxy,Unit_Rent_to_Income_Proxy_Pct,House_Rent_to_Income_Proxy,House_Rent_to_Income_Proxy_Pct,House_Unit_Rent_Gap,House_Unit_Rent_Premium_Pct,Population_2024,Population_2025,Population_Change,Population_Growth_Pct,Natural_Increase_2024_25,Net_Internal_Migration_2024_25,Net_Overseas_Migration_2024_25,Net_Migration_2024_25,Area_km2,Population_Density_2025,House_Approvals_2024_25,Other_Residential_Approvals_2024_25,Residual_Approval_Units_2024_25,Approvals_2024_25,Approvals_2025_26_FYTD,House_Approvals_per_1000,Other_Residential_Approvals_per_1000,Approvals_per_1000,Other_Residential_Approval_Share_Pct,Approvals_per_100_New_Residents,Affordability_Pressure_Score,Demand_Pressure_Score,Supply_Gap_Score,Weighted_Component_Score,Housing_Pressure_Index,Housing_Pressure_Category,Eligible_for_Score,Complete_Score
48750,Yankalilla,490.0,300.0,550.0,25.0,10.0,15.0,Stronger (20+ bonds),1052,0.4658,46.6,0.2852,28.5,0.5228,52.3,250.0,83.3,6211.0,6299.0,88.0,1.4,-25.0,101.0,12.0,113.0,751.3,8.4,70.0,0.0,0.0,70.0,53.0,11.11,0.0,11.11,0.0,79.5,98.1,83.0,20.8,75.0,100.0,Very High,True,True
48050,Victor Harbor,550.0,440.0,560.0,95.0,10.0,80.0,Stronger (20+ bonds),980,0.5612,56.1,0.449,44.9,0.5714,57.1,120.0,27.3,17154.0,17457.0,303.0,1.8,-112.0,378.0,37.0,415.0,384.6,45.4,346.0,5.0,0.0,351.0,321.0,19.82,0.29,20.11,1.4,115.8,100.0,92.5,3.8,74.1,98.1,Very High,True,True
42030,Gawler,550.0,425.0,560.0,205.0,20.0,180.0,Stronger (20+ bonds),1324,0.4154,41.5,0.321,32.1,0.423,42.3,135.0,31.8,27208.0,27564.0,356.0,1.3,-27.0,290.0,93.0,383.0,41.1,670.0,140.0,48.0,0.0,188.0,286.0,5.08,1.74,6.82,25.5,52.8,84.9,80.2,45.3,73.8,96.2,Very High,True,True
41560,Copper Coast,430.0,240.35,435.0,65.0,,60.0,Stronger (20+ bonds),997,0.4313,43.1,,,0.4363,43.6,,,16336.0,16601.0,265.0,1.6,-61.0,304.0,22.0,326.0,772.9,21.5,167.0,2.0,0.0,169.0,166.0,10.06,0.12,10.18,1.2,63.8,90.6,88.7,24.5,73.6,94.3,Very High,True,True
45680,Playford,550.0,312.66499999999996,550.0,1380.0,50.0,1300.0,Stronger (20+ bonds),1263,0.4355,43.6,0.2476,24.8,0.4355,43.6,237.33500000000004,75.9,111433.0,115790.0,4357.0,3.9,897.0,2821.0,639.0,3460.0,345.2,335.4,2113.0,180.0,9.0,2302.0,1759.0,18.25,1.55,19.88,7.8,52.8,92.5,100.0,5.7,72.7,92.5,Very High,True,True
40220,Alexandrina,500.0,370.0,520.0,120.0,20.0,105.0,Stronger (20+ bonds),1143,0.4374,43.7,0.3237,32.4,0.4549,45.5,150.0,40.5,30946.0,31427.0,481.0,1.6,-146.0,546.0,81.0,627.0,1826.8,17.2,469.0,2.0,4.0,475.0,347.0,14.92,0.06,15.11,0.4,98.8,94.3,88.7,13.2,72.6,90.6,Very High,True,True
40070,Adelaide,533.0,544.0,667.5,1180.0,930.0,125.0,Stronger (20+ bonds),1473,0.3618,36.2,0.3693,36.9,0.4532,45.3,123.5,22.7,29246.0,30173.0,927.0,3.2,5.0,-360.0,1282.0,922.0,15.6,1937.5,7.0,98.0,6.0,111.0,116.0,0.23,3.25,3.68,88.3,12.0,60.4,95.3,71.7,72.0,88.7,Very High,True,True
45340,Onkaparinga,585.0,470.0,600.0,815.0,100.0,695.0,Stronger (20+ bonds),1410,0.4149,41.5,0.3333,33.3,0.4255,42.6,130.0,27.7,183239.0,184827.0,1588.0,0.9,283.0,422.0,883.0,1305.0,518.1,356.7,648.0,235.0,7.0,890.0,1000.0,3.51,1.27,4.82,26.4,56.0,83.0,65.1,56.6,71.9,86.8,Very High,True,True
45890,Port Adelaide Enfield,595.0,480.0,630.0,1060.0,245.0,785.0,Stronger (20+ bonds),1466,0.4059,40.6,0.3274,32.7,0.4297,43.0,150.0,31.2,141372.0,143022.0,1650.0,1.2,547.0,-1059.0,2162.0,1103.0,91.8,1558.7,772.0,250.0,5.0,1027.0,998.0,5.4,1.75,7.18,24.3,62.2,81.1,76.4,38.7,69.3,84.9,Very High,True,True
47140,Salisbury,580.0,447.5,595.0,1045.0,190.0,835.0,Stronger (20+ bonds),1356,0.4277,42.8,0.33,33.0,0.4388,43.9,147.5,33.0,150637.0,151019.0,382.0,0.3,603.0,-2031.0,1810.0,-221.0,159.8,944.8,554.0,153.0,5.0,712.0,841.0,3.67,1.01,4.71,21.5,186.4,88.7,36.8,60.4,68.6,83.0,Very High,True,True
45290,Norwood Payneham and St Peters,595.0,520.0,700.0,400.0,195.0,195.0,Stronger (20+ bonds),1664,0.3576,35.8,0.3125,31.2,0.4207,42.1,180.0,34.6,40184.0,40845.0,661.0,1.6,18.0,-210.0,853.0,643.0,15.1,2704.3,119.0,63.0,6.0,188.0,153.0,2.91,1.54,4.6,33.5,28.4,58.5,88.7,62.3,67.0,81.1,Very High,True,True
40430,Barunga West,450.0,275.0,450.0,15.0,,10.0,Moderate (10–19 bonds),975,0.4615,46.2,,,0.4615,46.2,,,2683.0,2688.0,5.0,0.2,-36.0,36.0,5.0,41.0,1590.4,1.7,19.0,0.0,0.0,19.0,16.0,7.07,0.0,7.07,0.0,380.0,96.2,33.0,41.5,66.7,79.2,High,True,True
44060,Marion,620.0,495.0,650.0,635.0,140.0,470.0,Stronger (20+ bonds),1557,0.3982,39.8,0.3179,31.8,0.4175,41.8,155.0,31.3,100009.0,101229.0,1220.0,1.2,195.0,-445.0,1470.0,1025.0,55.6,1819.3,347.0,417.0,3.0,767.0,730.0,3.43,4.12,7.58,54.4,62.9,77.4,76.4,34.0,66.3,77.4,High,True,True
