Month,House_Approvals,Non_House_Approvals,Dwelling_Approvals,Year,Month_Number,Month_Name,Rolling_3_Month_Avg,Non_House_Approval_Share_Pct,Rolling_12_Month_Total,Monthly_YoY_Change_Pct,Rolling_12_Month_YoY_Change_Pct,Series_Type
2021-01-01,842,265,1107,2021,1,Jan 2021,,23.9,,,,Original
2021-02-01,1173,214,1387,2021,2,Feb 2021,,15.4,,,,Original
2021-03-01,1351,220,1571,2021,3,Mar 2021,1355.0,14.0,,,,Original
2021-04-01,1021,106,1127,2021,4,Apr 2021,1361.7,9.4,,,,Original
2021-05-01,1131,272,1403,2021,5,May 2021,1367.0,19.4,,,,Original
2021-06-01,1262,194,1456,2021,6,Jun 2021,1328.7,13.3,,,,Original
2021-07-01,970,188,1158,2021,7,Jul 2021,1339.0,16.2,,,,Original
2021-08-01,977,263,1240,2021,8,Aug 2021,1284.7,21.2,,,,Original
2021-09-01,894,204,1098,2021,9,Sep 2021,1165.3,18.6,,,,Original
2021-10-01,768,161,929,2021,10,Oct 2021,1089.0,17.3,,,,Original
2021-11-01,1016,241,1257,2021,11,Nov 2021,1094.7,19.2,,,,Original
2021-12-01,760,322,1082,2021,12,Dec 2021,1089.3,29.8,14815.0,,,Original
2022-01-01,529,68,597,2022,1,Jan 2022,978.7,11.4,14305.0,-46.1,,Original
2022-02-01,732,376,1108,2022,2,Feb 2022,929.0,33.9,14026.0,-20.1,,Original
2022-03-01,843,135,978,2022,3,Mar 2022,894.3,13.8,13433.0,-37.7,,Original
2022-04-01,716,544,1260,2022,4,Apr 2022,1115.3,43.2,13566.0,11.8,,Original
2022-05-01,857,280,1137,2022,5,May 2022,1125.0,24.6,13300.0,-19.0,,Original
2022-06-01,804,153,957,2022,6,Jun 2022,1118.0,16.0,12801.0,-34.3,,Original
2022-07-01,890,252,1142,2022,7,Jul 2022,1078.7,22.1,12785.0,-1.4,,Original
2022-08-01,929,323,1252,2022,8,Aug 2022,1117.0,25.8,12797.0,1.0,,Original
2022-09-01,854,113,967,2022,9,Sep 2022,1120.3,11.7,12666.0,-11.9,,Original
2022-10-01,818,317,1135,2022,10,Oct 2022,1118.0,27.9,12872.0,22.2,,Original
2022-11-01,909,464,1373,2022,11,Nov 2022,1158.3,33.8,12988.0,9.2,,Original
2022-12-01,687,154,841,2022,12,Dec 2022,1116.3,18.3,12747.0,-22.3,-14.0,Original
2023-01-01,548,117,665,2023,1,Jan 2023,959.7,17.6,12815.0,11.4,-10.4,Original
2023-02-01,748,310,1058,2023,2,Feb 2023,854.7,29.3,12765.0,-4.5,-9.0,Original
2023-03-01,789,124,913,2023,3,Mar 2023,878.7,13.6,12700.0,-6.6,-5.5,Original
2023-04-01,802,239,1041,2023,4,Apr 2023,1004.0,23.0,12481.0,-17.4,-8.0,Original
2023-05-01,846,256,1102,2023,5,May 2023,1018.7,23.2,12446.0,-3.1,-6.4,Original
2023-06-01,844,199,1043,2023,6,Jun 2023,1062.0,19.1,12532.0,9.0,-2.1,Original
2023-07-01,711,271,982,2023,7,Jul 2023,1042.3,27.6,12372.0,-14.0,-3.2,Original
2023-08-01,839,153,992,2023,8,Aug 2023,1005.7,15.4,12112.0,-20.8,-5.4,Original
2023-09-01,745,251,996,2023,9,Sep 2023,990.0,25.2,12141.0,3.0,-4.1,Original
2023-10-01,794,213,1007,2023,10,Oct 2023,998.3,21.2,12013.0,-11.3,-6.7,Original
2023-11-01,898,178,1076,2023,11,Nov 2023,1026.3,16.5,11716.0,-21.6,-9.8,Original
2023-12-01,593,145,738,2023,12,Dec 2023,940.3,19.6,11613.0,-12.2,-8.9,Original
2024-01-01,519,105,624,2024,1,Jan 2024,812.7,16.8,11572.0,-6.2,-9.7,Original
2024-02-01,716,188,904,2024,2,Feb 2024,755.3,20.8,11418.0,-14.6,-10.6,Original
2024-03-01,710,141,851,2024,3,Mar 2024,793.0,16.6,11356.0,-6.8,-10.6,Original
2024-04-01,781,245,1026,2024,4,Apr 2024,927.0,23.9,11341.0,-1.4,-9.1,Original
2024-05-01,776,285,1061,2024,5,May 2024,979.3,26.9,11300.0,-3.7,-9.2,Original
2024-06-01,804,234,1038,2024,6,Jun 2024,1041.7,22.5,11295.0,-0.5,-9.9,Original
